Id,Label,Category,Influence Score
AI-generated sound,AI-generated sound,Technological Actant,3
30B parameter transformer model,30B parameter transformer model,Technological Actant,4
13B parameter audio generator,13B parameter audio generator,Technological Actant,4
AI development,AI development,Unknown,1
Student,Student,Unknown,1
academic integrity,academic integrity,Unknown,1
school discipline related to AI use,school discipline related to AI use,Unknown,1
unauthorized technology,unauthorized technology,Unknown,1
executive order,executive order,Unknown,1
workforce concerns,workforce concerns,Unknown,1
federal agencies,federal agencies,Unknown,1
non-consensual AI content,non-consensual AI content,Unknown,1
AI scams,AI scams,Unknown,1
crypto scams,crypto scams,Unknown,1
deepfake videos and images,deepfake videos and images,Unknown,1
Artificial Neural Networks,Artificial Neural Networks,Unknown,1
John Hopfield's Work,John Hopfield's Work,Unknown,1
John Hopfield and Geoffrey Hinton,John Hopfield and Geoffrey Hinton,Unknown,1
AI Liability Bill,AI Liability Bill,Unknown,1
humans,humans,Unknown,1
